company,location,fire,��ü �η� �� ���� ���� ����,industry,country,ai_bool
Medallia,SF Bay Area,59,,Support,United States,FALSE
Ericsson,Stockholm Non-U.S.,8500,8%,Other,Sweden,FALSE
Eat Just,SF Bay Area,40,,Food,United States,FALSE
SAP Labs,Bengaluru Non-U.S.,300,,Other,India,FALSE
Stax,Orlando,24,,Finance,United States,FALSE
Lucira Health,SF Bay Area,26,,Healthcare,United States,FALSE
Poshmark,SF Bay Area,,2%,Retail,United States,FALSE
Velodyne Lidar,SF Bay Area,220,,Transportat,,FALSE
EQRx,Boston,,18%,Healthcare,United States,FALSE
Twitter,SF Bay Area,200,10%,Consumer,United States,FALSE
BitSight,Tel Aviv Non-U.S.,40,,Security,Israel,TRUE
Stytch,SF Bay Area,19,25%,Security,United States,TRUE
Outreach,Seattle,70,7%,Sales,United States,FALSE
Palantir,Denver,75,2%,Data,United States,TRUE
Amount,Chicago,130,25%,Finance,United States,FALSE
Cerebral,SF Bay Area,285,15%,Healthcare,United States,FALSE
Sono Motors,Munich Non-U.S.,300,,Transportat,,FALSE
MeridianLink,Los Angeles,,9%,Finance,United States,FALSE
DUX Education,Bengaluru Non-U.S.,,100%,Education,India,FALSE
Ezoic,San Diego,10,,Infrastructu,,FALSE
Eventbrite,SF Bay Area,80,8%,Consumer,United States,FALSE
Electronic Arts,Baton Rouge,200,,Consumer,United States,FALSE
Meta,SF Bay Area,10000,,Consumer,United States,TRUE
Anchorage Digital,SF Bay Area,75,20%,Crypto,United States,TRUE
Fetch,Madison,100,10%,Retail,United States,FALSE
Samsung,SF Bay Area,30,,Hardware,United States,TRUE
Avidbots,Kitchener Non-U.S.,50,14%,Hardware,Canada,FALSE
Kaleidoscope,Minneapolis,15,30%,Finance,United States,FALSE
Hometap,Boston,,,Real Estate,United States,TRUE
TradeWindow,Auckland Non-U.S.,25,30%,Finance,New Zealand,FALSE
Nubank,Sao Paulo Non-U.S.,30,,Finance,Brazil,FALSE
Boxed,New York City,32,25%,Retail,United States,FALSE
Dukaan,Bengaluru Non-U.S.,56,30%,Retail,India,FALSE
Klaviyo,Boston,140,,Marketing,United States,FALSE
Leafly,Seattle,40,21%,Retail,United States,FALSE
Course Hero,SF Bay Area,42,15%,Education,United States,FALSE
Runtastic,Linz Non-U.S.,70,28%,Fitness,Austria,FALSE
Coherent,SF Bay Area,108,,Manufactur,,FALSE
Freshworks,SF Bay Area,114,2%,Support,United States,FALSE
Bonusly,Boulder,,,HR,United States,FALSE
Livspace,Bengaluru Non-U.S.,100,2%,Retail,India,FALSE
Candor Technology,Atlanta,,,Real Estate,United States,FALSE
Symend,Calgary Non-U.S.,50,25%,Other,Canada,FALSE
Amazon,Seattle,9000,,Retail,United States,TRUE
Huuuge Games,Warsaw Non-U.S.,,10%,Consumer,Poland,FALSE
Laybuy,Auckland Non-U.S.,,10%,Finance,New Zealand,FALSE
Grin,Sacramento,,,Marketing,United States,FALSE
GAMURS Group,Sydney Non-U.S.,,,Consumer,Australia,FALSE
Expedia,Seattle,,,Travel,United States,FALSE
Smallcase,Bengaluru Non-U.S.,15,4%,Finance,India,FALSE
Mr Yum,Melbourne Non-U.S.,40,,Food,Australia,FALSE
Xing,Hamburg Non-U.S.,68,,HR,Germany,FALSE
FreshBooks,Toronto Non-U.S.,80,10%,Finance,Canada,FALSE
Workhuman,Dublin Non-U.S.,130,10%,HR,Ireland,FALSE
Marvell,SF Bay Area,320,4%,Hardware,United States,FALSE
Just Eat,London Non-U.S.,1700,,Food,United Kingdo??False,FALSE
Indeed,Austin,2200,15%,HR,United States,FALSE
Glassdoor,SF Bay Area,140,15%,HR,United States,FALSE
